date,vending_machine,cash_type,money,product_name
2024-04-30,Central,Cash,2.35,Americano with Milk
2024-05-02,Central,Cash,2.10,Americano
2024-05-02,Central,Cash,2.35,Americano with Milk
2024-05-02,Central,Cash,2.35,Americano with Milk
2024-05-02,Central,Money,2.90,Cappuccino
2024-05-06,Central,Money,2.35,Americano with Milk
2024-05-06,Central,Cash,2.10,Americano
2024-05-06,Central,Money,2.10,Americano
2024-05-07,Central,Cash,2.50,Cocoa
2024-05-07,Central,Cash,2.10,Americano
2024-05-07,Central,Cash,2.90,Cappuccino
2024-05-07,Central,Cash,2.90,Cappuccino
2024-05-09,Central,Cash,2.90,Cappuccino
2024-05-09,Central,Money,3.05,Latte
2024-05-09,Central,Money,3.05,Latte
2024-05-10,Central,Cash,3.05,Latte
2024-05-11,Central,Cash,2.90,Cappuccino
2024-05-11,Central,Cash,2.90,Cappuccino
2024-05-11,Central,Cash,3.05,Latte
2024-05-12,Central,Money,3.05,Latte
2024-05-12,Central,Cash,2.35,Americano with Milk
2024-05-13,Central,Money,2.35,Americano with Milk
2024-05-14,Central,Cash,2.90,Cappuccino
2024-05-14,Central,Money,2.35,Americano with Milk
2024-05-15,Central,Money,1.80,Espresso
2024-05-15,Central,Cash,2.10,Americano
2024-05-15,Central,Cash,2.25,Cortado
2024-05-15,Central,Cash,1.80,Espresso
2024-05-16,Central,Cash,2.35,Americano with Milk
2024-05-16,Central,Cash,2.65,Hot Chocolate
2024-05-17,Central,Cash,2.35,Americano with Milk
2024-05-17,Central,Money,2.35,Americano with Milk
2024-05-17,Central,Cash,3.05,Latte
2024-05-18,Central,Cash,2.90,Cappuccino
2024-05-18,Central,Cash,3.05,Latte
2024-05-19,Central,Cash,2.10,Americano
2024-05-19,Central,Cash,2.10,Americano
2024-05-19,Central,Money,2.90,Cappuccino
2024-05-19,Central,Cash,2.65,Hot Chocolate
2024-05-19,Central,Money,2.90,Cappuccino
2024-05-19,Central,Cash,2.90,Cappuccino
2024-05-20,Central,Cash,3.05,Latte
2024-05-20,Central,Cash,3.05,Latte
2024-05-20,Central,Cash,2.10,Americano
2024-05-20,Central,Cash,2.10,Americano
2024-05-20,Central,Money,2.90,Cappuccino
2024-05-20,Central,Money,2.10,Americano
2024-05-20,Central,Cash,3.05,Latte
2024-05-20,Central,Cash,2.35,Americano with Milk
2024-05-20,Central,Money,2.35,Americano with Milk
2024-05-21,Central,Money,3.05,Latte
2024-05-21,Central,Cash,2.10,Americano
2024-05-21,Central,Cash,2.35,Americano with Milk
2024-05-21,Central,Cash,3.05,Latte
2024-05-21,Central,Cash,2.90,Cappuccino
2024-05-22,Central,Cash,2.90,Cappuccino
2024-05-22,Central,Money,2.35,Americano with Milk
2024-05-22,Central,Cash,2.65,Hot Chocolate
2024-05-22,Central,Cash,2.90,Cappuccino
2024-05-23,Central,Money,1.80,Espresso
2024-05-23,Central,Cash,3.05,Latte
2024-05-23,Central,Cash,2.90,Cappuccino
2024-05-23,Central,Cash,2.25,Cortado
2024-05-23,Central,Money,2.90,Cappuccino
2024-05-23,Central,Cash,2.90,Cappuccino
2024-05-23,Central,Cash,2.35,Americano with Milk
2024-05-24,Central,Money,2.35,Americano with Milk
2024-05-25,Central,Money,2.10,Americano
2024-05-25,Central,Money,2.35,Americano with Milk
2024-05-25,Central,Cash,2.35,Americano with Milk
2024-05-26,Central,Money,3.05,Latte
2024-05-26,Central,Cash,2.65,Hot Chocolate
2024-05-26,Central,Cash,2.10,Americano
2024-05-26,Central,Money,2.90,Cappuccino
2024-05-26,Central,Cash,2.25,Cortado
2024-05-27,Central,Cash,2.10,Americano
2024-05-27,Central,Cash,2.35,Americano with Milk
2024-05-27,Central,Cash,2.10,Americano
2024-05-27,Central,Cash,3.05,Latte
2024-05-27,Central,Money,2.90,Cappuccino
2024-05-28,Central,Cash,2.35,Americano with Milk
2024-05-28,Central,Cash,2.50,Cocoa
2024-05-28,Central,Cash,2.10,Americano
2024-05-29,Central,Cash,3.05,Latte
2024-05-29,Central,Cash,3.05,Latte
2024-05-29,Central,Money,2.90,Cappuccino
2024-05-29,Central,Money,3.05,Latte
2024-05-29,Central,Cash,2.65,Hot Chocolate
2024-05-30,Central,Cash,3.05,Latte
2024-05-30,Central,Cash,2.65,Hot Chocolate
2024-05-30,Central,Money,2.35,Americano with Milk
2024-05-31,Central,Cash,3.05,Latte
2024-05-31,Central,Money,2.50,Cocoa
2024-05-31,Central,Cash,3.05,Latte
2024-05-31,Central,Cash,2.35,Americano with Milk
2024-06-01,Central,Cash,2.35,Americano with Milk
2024-06-01,Central,Cash,2.90,Cappuccino
2024-06-02,Central,Cash,2.90,Cappuccino
2024-06-02,Central,Cash,2.35,Americano with Milk
2024-06-04,Central,Cash,2.35,Americano with Milk
2024-06-04,Central,Cash,3.05,Latte
2024-06-04,Central,Money,2.65,Hot Chocolate
2024-06-04,Central,Cash,2.25,Cortado
2024-06-05,Central,Money,2.90,Cappuccino
2024-06-05,Central,Money,2.10,Americano
2024-06-05,Central,Cash,2.35,Americano with Milk
2024-06-05,Central,Cash,2.35,Americano with Milk
2024-06-05,Central,Cash,3.05,Latte
2024-06-05,Central,Cash,2.25,Cortado
2024-06-06,Central,Cash,2.35,Americano with Milk
2024-06-06,Central,Cash,2.35,Americano with Milk
2024-06-06,Central,Cash,3.05,Latte
2024-06-06,Central,Cash,2.90,Cappuccino
2024-06-07,Central,Cash,2.90,Cappuccino
2024-06-07,Central,Money,2.35,Americano with Milk
2024-06-08,Central,Cash,2.25,Cortado
2024-06-08,Central,Money,2.35,Americano with Milk
2024-06-08,Central,Cash,2.90,Cappuccino
2024-06-09,Central,Cash,3.05,Latte
2024-06-09,Central,Cash,2.90,Cappuccino
2024-06-09,Central,Cash,2.25,Cortado
2024-06-09,Central,Cash,2.90,Cappuccino
2024-06-10,Central,Money,2.90,Cappuccino
2024-06-10,Central,Cash,3.05,Latte
2024-06-10,Central,Cash,2.65,Hot Chocolate
2024-06-10,Central,Cash,3.05,Latte
2024-06-11,Central,Cash,3.05,Latte
2024-06-11,Central,Money,2.65,Hot Chocolate
2024-06-11,Central,Cash,2.35,Americano with Milk
2024-06-12,Central,Money,2.65,Hot Chocolate
2024-06-12,Central,Cash,3.05,Latte
2024-06-12,Central,Cash,2.35,Americano with Milk
2024-06-13,Central,Cash,2.10,Americano
2024-06-13,Central,Cash,3.05,Latte
2024-06-13,Central,Money,2.35,Americano with Milk
2024-06-13,Central,Money,2.25,Cortado
2024-06-13,Central,Money,3.05,Latte
2024-06-13,Central,Cash,2.35,Americano with Milk
2024-06-13,Central,Money,2.35,Americano with Milk
2024-06-14,Central,Cash,2.10,Americano
2024-06-14,Central,Money,2.35,Americano with Milk
2024-06-15,Central,Cash,3.05,Latte
2024-06-16,Central,Cash,2.35,Americano with Milk
2024-06-16,Central,Cash,3.05,Latte
2024-06-16,Central,Cash,2.35,Americano with Milk
2024-06-16,Central,Cash,2.65,Hot Chocolate
2024-06-16,Central,Cash,2.35,Americano with Milk
2024-06-17,Central,Cash,2.25,Cortado
2024-06-18,Central,Cash,2.90,Cappuccino
2024-06-18,Central,Cash,2.25,Cortado
2024-06-19,Central,Cash,2.25,Cortado
2024-06-19,Central,Cash,2.50,Cocoa
2024-06-19,Central,Money,2.35,Americano with Milk
2024-06-19,Central,Cash,2.90,Cappuccino
2024-06-20,Central,Cash,3.05,Latte
2024-06-20,Central,Cash,3.05,Latte
2024-06-20,Central,Cash,2.35,Americano with Milk
2024-06-21,Central,Cash,3.05,Latte
2024-06-21,Central,Cash,2.35,Americano with Milk
2024-06-21,Central,Cash,3.05,Latte
2024-06-21,Central,Cash,2.90,Cappuccino
2024-06-21,Central,Money,2.90,Cappuccino
2024-06-21,Central,Cash,2.35,Americano with Milk
2024-06-22,Central,Cash,3.05,Latte
2024-06-22,Central,Cash,2.90,Cappuccino
2024-06-23,Central,Cash,2.35,Americano with Milk
2024-06-23,Central,Cash,3.05,Latte
2024-06-23,Central,Cash,2.90,Cappuccino
2024-06-24,Central,Cash,2.35,Americano with Milk
2024-06-24,Central,Money,2.90,Cappuccino
2024-06-24,Central,Cash,3.05,Latte
2024-06-25,Central,Cash,2.35,Americano with Milk
2024-06-25,Central,Cash,2.90,Cappuccino
2024-06-26,Central,Cash,1.80,Espresso
2024-06-27,Central,Cash,2.35,Americano with Milk
2024-06-27,Central,Money,2.90,Cappuccino
2024-06-28,Central,Cash,2.35,Americano with Milk
2024-06-29,Central,Cash,2.35,Americano with Milk
2024-06-29,Central,Cash,2.35,Americano with Milk
2024-06-29,Central,Cash,2.90,Cappuccino
2024-06-29,Central,Cash,2.90,Cappuccino
2024-06-29,Central,Money,2.65,Hot Chocolate
2024-07-02,Central,Cash,2.10,Americano
2024-07-03,Central,Cash,2.90,Cappuccino
2024-07-03,Central,Cash,2.90,Cappuccino
2024-07-04,Central,Cash,2.35,Americano with Milk
2024-07-05,Central,Money,2.50,Cocoa
2024-07-05,Central,Cash,2.35,Americano with Milk
2024-07-05,Central,Money,2.35,Americano with Milk
2024-07-05,Central,Cash,1.80,Espresso
2024-07-06,Central,Money,3.05,Latte
2024-07-06,Central,Cash,2.35,Americano with Milk
2024-07-07,Central,Money,2.90,Cappuccino
2024-07-07,Central,Cash,2.65,Hot Chocolate
2024-07-07,Central,Cash,2.50,Cocoa
2024-07-09,Central,Cash,2.90,Cappuccino
2024-07-09,Central,Cash,2.35,Americano with Milk
2024-07-10,Central,Cash,2.10,Americano
2024-07-11,Central,Cash,2.65,Hot Chocolate
2024-07-11,Central,Cash,2.35,Americano with Milk
2024-07-12,Central,Cash,2.65,Hot Chocolate
2024-07-12,Central,Money,2.65,Hot Chocolate
2024-07-13,Central,Money,3.05,Latte
2024-07-14,Central,Money,2.10,Americano
2024-07-14,Central,Cash,2.35,Americano with Milk
2024-07-14,Central,Money,2.90,Cappuccino
2024-07-14,Central,Cash,3.05,Latte
2024-07-14,Central,Cash,3.05,Latte
2024-07-16,Central,Cash,2.65,Hot Chocolate
2024-07-18,Central,Cash,1.80,Espresso
2024-07-18,Central,Cash,2.10,Americano
2024-07-18,Central,Cash,2.10,Americano
2024-07-18,Central,Money,2.25,Cortado
2024-07-18,Central,Cash,3.05,Latte
2024-07-18,Central,Cash,2.65,Hot Chocolate
2024-07-18,Central,Money,3.05,Latte
2024-07-18,Central,Cash,3.05,Latte
2024-07-19,Central,Cash,2.10,Americano
2024-07-19,Central,Cash,3.05,Latte
2024-07-19,Central,Cash,2.35,Americano with Milk
2024-07-19,Central,Cash,2.50,Cocoa
2024-07-19,Central,Cash,3.05,Latte
2024-07-20,Central,Cash,2.10,Americano
2024-07-20,Central,Cash,3.05,Latte
2024-07-20,Central,Cash,3.05,Latte
2024-07-22,Central,Cash,2.10,Americano
2024-07-22,Central,Cash,2.35,Americano with Milk
2024-07-23,Central,Cash,3.05,Latte
2024-07-23,Central,Cash,2.10,Americano
2024-07-23,Central,Cash,3.05,Latte
2024-07-24,Central,Cash,3.05,Latte
2024-07-24,Central,Money,2.90,Cappuccino
2024-07-24,Central,Money,2.10,Americano
2024-07-25,Central,Cash,2.90,Cappuccino
2024-07-25,Central,Cash,2.25,Cortado
2024-07-25,Central,Cash,1.80,Espresso
2024-07-25,Central,Cash,2.25,Cortado
2024-07-25,Central,Cash,2.50,Cocoa
2024-07-26,Central,Cash,3.05,Latte
2024-07-26,Central,Cash,2.35,Americano with Milk
2024-07-26,Central,Money,2.35,Americano with Milk
2024-07-27,Central,Money,2.90,Cappuccino
2024-07-27,Central,Money,2.35,Americano with Milk
2024-07-27,Central,Money,3.05,Latte
2024-07-27,Central,Cash,2.35,Americano with Milk
2024-07-27,Central,Cash,2.90,Cappuccino
2024-07-28,Central,Cash,1.80,Espresso
2024-07-28,Central,Cash,2.35,Americano with Milk
2024-07-29,Central,Cash,2.35,Americano with Milk
2024-07-29,Central,Cash,2.90,Cappuccino
2024-07-29,Central,Money,2.65,Hot Chocolate
2024-07-29,Central,Cash,2.10,Americano
2024-07-30,Central,Cash,3.05,Latte
2024-07-30,Central,Cash,2.10,Americano
2024-07-30,Central,Cash,3.05,Latte
2024-07-30,Central,Cash,1.80,Espresso
2024-07-30,Central,Money,2.35,Americano with Milk
2024-07-30,Central,Cash,2.10,Americano
2024-07-30,Central,Cash,2.90,Cappuccino
2024-07-31,Central,Money,2.10,Americano
2024-07-31,Central,Cash,2.50,Cocoa
2024-07-31,Central,Money,2.35,Americano with Milk
2024-07-31,Central,Cash,3.05,Latte
2024-07-31,Central,Cash,2.50,Cocoa
2024-07-31,Central,Cash,2.25,Cortado
2024-07-31,Central,Money,2.90,Cappuccino
2024-07-31,Central,Cash,2.35,Americano with Milk
2024-08-01,Central,Cash,2.35,Americano with Milk
2024-08-01,Central,Cash,2.35,Americano with Milk
2024-08-01,Central,Cash,2.25,Cortado
2024-08-01,Central,Money,2.90,Cappuccino
2024-08-01,Central,Cash,2.35,Americano with Milk
2024-08-03,Central,Cash,2.35,Americano with Milk
2024-08-03,Central,Cash,2.35,Americano with Milk
2024-08-03,Central,Cash,3.05,Latte
2024-08-04,Central,Cash,2.90,Cappuccino
2024-08-04,Central,Cash,2.35,Americano with Milk
2024-08-04,Central,Money,2.90,Cappuccino
2024-08-05,Central,Cash,2.25,Cortado
2024-08-05,Central,Cash,2.35,Americano with Milk
2024-08-05,Central,Cash,2.25,Cortado
2024-08-05,Central,Cash,3.05,Latte
2024-08-05,Central,Money,3.05,Latte
2024-08-05,Central,Cash,2.35,Americano with Milk
2024-08-06,Central,Cash,2.65,Hot Chocolate
2024-08-06,Central,Cash,2.50,Cocoa
2024-08-06,Central,Money,3.05,Latte
2024-08-06,Central,Cash,2.35,Americano with Milk
2024-08-07,Central,Cash,2.35,Americano with Milk
2024-08-07,Central,Cash,2.10,Americano
2024-08-07,Central,Cash,3.05,Latte
2024-08-08,Central,Money,2.35,Americano with Milk
2024-08-09,Central,Money,2.35,Americano with Milk
2024-08-09,Central,Cash,2.65,Hot Chocolate
2024-08-10,Central,Cash,2.35,Americano with Milk
2024-08-10,Central,Cash,2.10,Americano
2024-08-10,Central,Cash,3.05,Latte
2024-08-10,Central,Cash,3.05,Latte
2024-08-10,Central,Money,2.50,Cocoa
2024-08-11,Central,Cash,2.90,Cappuccino
2024-08-11,Central,Money,2.35,Americano with Milk
2024-08-11,Central,Cash,2.25,Cortado
2024-08-11,Central,Cash,3.05,Latte
2024-08-11,Central,Money,2.50,Cocoa
2024-08-11,Central,Cash,2.25,Cortado
2024-08-12,Central,Cash,2.35,Americano with Milk
2024-08-12,Central,Cash,2.10,Americano
2024-08-12,Central,Cash,2.35,Americano with Milk
2024-08-12,Central,Money,2.35,Americano with Milk
2024-08-12,Central,Money,2.90,Cappuccino
2024-08-13,Central,Money,2.35,Americano with Milk
2024-08-13,Central,Cash,2.35,Americano with Milk
2024-08-13,Central,Cash,2.90,Cappuccino
2024-08-13,Central,Cash,3.05,Latte
2024-08-14,Central,Money,2.90,Cappuccino
2024-08-14,Central,Cash,2.35,Americano with Milk
2024-08-15,Central,Cash,2.25,Cortado
2024-08-15,Central,Cash,3.05,Latte
2024-08-15,Central,Cash,3.05,Latte
2024-08-15,Central,Money,3.05,Latte
2024-08-15,Central,Cash,1.80,Espresso
2024-08-15,Central,Cash,2.35,Americano with Milk
2024-08-16,Central,Cash,1.80,Espresso
2024-08-17,Central,Cash,2.35,Americano with Milk
2024-08-17,Central,Cash,2.25,Cortado
2024-08-17,Central,Cash,2.25,Cortado
2024-08-17,Central,Cash,2.90,Cappuccino
2024-08-18,Central,Cash,2.35,Americano with Milk
2024-08-19,Central,Cash,2.35,Americano with Milk
2024-08-19,Central,Cash,2.35,Americano with Milk
2024-08-19,Central,Cash,3.05,Latte
2024-08-20,Central,Money,1.80,Espresso
2024-08-20,Central,Money,2.25,Cortado
2024-08-20,Central,Cash,2.10,Americano
2024-08-20,Central,Money,3.05,Latte
2024-08-21,Central,Cash,3.05,Latte
2024-08-22,Central,Cash,2.90,Cappuccino
2024-08-23,Central,Money,3.05,Latte
2024-08-23,Central,Money,2.25,Cortado
2024-08-23,Central,Money,3.05,Latte
2024-08-23,Central,Cash,2.25,Cortado
2024-08-23,Central,Cash,2.10,Americano
2024-08-23,Central,Money,2.10,Americano
2024-08-24,Central,Cash,2.25,Cortado
2024-08-24,Central,Cash,1.80,Espresso
2024-08-24,Central,Cash,1.80,Espresso
2024-08-25,Central,Cash,2.10,Americano
2024-08-26,Central,Cash,2.25,Cortado
2024-08-26,Central,Money,2.10,Americano
2024-08-26,Central,Cash,2.35,Americano with Milk
2024-08-26,Central,Cash,2.35,Americano with Milk
2024-08-27,Central,Money,3.05,Latte
2024-08-28,Central,Cash,2.35,Americano with Milk
2024-08-28,Central,Cash,2.90,Cappuccino
2024-08-28,Central,Cash,2.10,Americano
2024-08-28,Central,Cash,2.35,Americano with Milk
2024-08-30,Central,Cash,3.05,Latte
2024-08-31,Central,Cash,2.35,Americano with Milk
2024-08-31,Central,Cash,2.25,Cortado
2024-09-01,Central,Cash,2.90,Cappuccino
2024-09-01,Central,Money,2.35,Americano with Milk
2024-09-01,Central,Cash,3.05,Latte
2024-09-01,Central,Cash,3.05,Latte
2024-09-01,Central,Cash,3.05,Latte
2024-09-02,Central,Cash,3.05,Latte
2024-09-02,Central,Cash,2.90,Cappuccino
2024-09-02,Central,Cash,2.10,Americano
2024-09-03,Central,Cash,2.90,Cappuccino
2024-09-03,Central,Cash,2.25,Cortado
2024-09-03,Central,Cash,2.35,Americano with Milk
2024-09-03,Central,Cash,3.05,Latte
2024-09-03,Central,Money,2.35,Americano with Milk
2024-09-04,Central,Money,2.90,Cappuccino
2024-09-04,Central,Cash,3.05,Latte
2024-09-05,Central,Money,2.35,Americano with Milk
2024-09-05,Central,Cash,3.05,Latte
2024-09-05,Central,Cash,2.90,Cappuccino
2024-09-06,Central,Money,2.90,Cappuccino
2024-09-06,Central,Cash,1.80,Espresso
2024-09-06,Central,Cash,3.05,Latte
2024-09-06,Central,Cash,2.65,Hot Chocolate
2024-09-06,Central,Money,1.80,Espresso
2024-09-06,Central,Cash,1.80,Espresso
2024-09-06,Central,Cash,3.05,Latte
2024-09-07,Central,Money,2.25,Cortado
2024-09-07,Central,Cash,2.25,Cortado
2024-09-07,Central,Cash,2.25,Cortado
2024-09-07,Central,Cash,1.80,Espresso
2024-09-07,Central,Money,3.05,Latte
2024-09-07,Central,Cash,2.10,Americano
2024-09-07,Central,Cash,3.05,Latte
2024-09-07,Central,Cash,2.10,Americano
2024-09-07,Central,Money,1.80,Espresso
2024-09-07,Central,Money,3.05,Latte
2024-09-09,Central,Cash,3.05,Latte
2024-09-09,Central,Cash,2.90,Cappuccino
2024-09-09,Central,Cash,2.35,Americano with Milk
2024-09-09,Central,Money,3.05,Latte
2024-09-09,Central,Cash,3.05,Latte
2024-09-09,Central,Money,3.05,Latte
2024-09-09,Central,Money,3.05,Latte
2024-09-10,Central,Cash,2.90,Cappuccino
2024-09-10,Central,Cash,2.25,Cortado
2024-09-10,Central,Money,2.90,Cappuccino
2024-09-10,Central,Cash,2.35,Americano with Milk
2024-09-11,Central,Cash,2.35,Americano with Milk
2024-09-11,Central,Cash,2.35,Americano with Milk
2024-09-11,Central,Cash,3.05,Latte
2024-09-12,Central,Cash,2.35,Americano with Milk
2024-09-12,Central,Money,3.05,Latte
2024-09-13,Central,Cash,2.35,Americano with Milk
2024-09-15,Central,Cash,1.80,Espresso
2024-09-15,Central,Cash,2.10,Americano
2024-09-16,Central,Cash,2.35,Americano with Milk
2024-09-16,Central,Cash,2.35,Americano with Milk
2024-09-17,Central,Cash,2.25,Cortado
2024-09-17,Central,Cash,2.35,Americano with Milk
2024-09-17,Central,Money,2.35,Americano with Milk
2024-09-17,Central,Cash,2.35,Americano with Milk
2024-09-17,Central,Cash,2.90,Cappuccino
2024-09-17,Central,Money,2.35,Americano with Milk
2024-09-17,Central,Cash,3.05,Latte
2024-09-18,Central,Cash,3.05,Latte
2024-09-19,Central,Cash,3.05,Latte
2024-09-19,Central,Cash,2.10,Americano
2024-09-19,Central,Cash,2.35,Americano with Milk
2024-09-20,Central,Cash,2.35,Americano with Milk
2024-09-20,Central,Cash,2.35,Americano with Milk
2024-09-20,Central,Money,2.35,Americano with Milk
2024-09-20,Central,Money,3.05,Latte
2024-09-20,Central,Cash,2.10,Americano
2024-09-20,Central,Cash,2.35,Americano with Milk
2024-09-21,Central,Cash,2.25,Cortado
2024-09-21,Central,Cash,3.05,Latte
2024-09-21,Central,Cash,3.05,Latte
2024-09-21,Central,Cash,3.05,Latte
2024-09-21,Central,Cash,2.35,Americano with Milk
2024-09-21,Central,Cash,2.10,Americano
2024-09-22,Central,Money,2.10,Americano
2024-09-22,Central,Money,2.25,Cortado
2024-09-22,Central,Cash,2.10,Americano
2024-09-22,Central,Cash,2.35,Americano with Milk
2024-09-22,Central,Cash,2.35,Americano with Milk
2024-09-22,Central,Money,3.05,Latte
2024-09-22,Central,Cash,2.35,Americano with Milk
2024-09-22,Central,Cash,2.50,Cocoa
